,Matchid,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22,,Runs_1,Over_1
53,1030221,MJ Guptill,KS Williamson,TWM Latham,LRPL Taylor,CJ Anderson,L Ronchi,MJ Santner,AP Devcich,TG Southee,MJ Henry,TA Boult,RG Sharma,AM Rahane,V Kohli,MK Pandey,MS Dhoni,KM Jadhav,AR Patel,HH Pandya,A Mishra,UT Yadav,JJ Bumrah,,2,1
54,1030223,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,CJ Anderson,L Ronchi,JDS Neesham,MJ Santner,TG Southee,MJ Henry,TA Boult,RG Sharma,AM Rahane,V Kohli,MS Dhoni,MK Pandey,UT Yadav,HH Pandya,JJ Bumrah,KM Jadhav,AR Patel,A Mishra,,-,-
55,1030225,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,JDS Neesham,BJ Watling,AP Devcich,MJ Santner,TG Southee,TA Boult,IS Sodhi,AM Rahane,RG Sharma,V Kohli,MS Dhoni,AR Patel,MK Pandey,KM Jadhav,HH Pandya,A Mishra,DS Kulkarni,UT Yadav,,-,-
56,1030227,AM Rahane,RG Sharma,V Kohli,MS Dhoni,MK Pandey,KM Jadhav,AR Patel,J Yadav,UT Yadav,JJ Bumrah,A Mishra,MJ Guptill,KS Williamson,TWM Latham,LRPL Taylor,JDS Neesham,BJ Watling,CJ Anderson,TG Southee,IS Sodhi,MJ Santner,TA Boult,,-,-
57,1031425,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,MA Wood,LE Plunkett,AU Rashid,HM Amla,Q de Kock,F du Plessis,AB de Villiers,JP Duminy,DA Miller,CH Morris,WD Parnell,AL Phehlukwayo,K Rabada,Imran Tahir,,-,-
58,1031427,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,MA Wood,JT Ball,LE Plunkett,AU Rashid,Q de Kock,HM Amla,F du Plessis,AB de Villiers,DA Miller,F Behardien,CH Morris,K Rabada,D Pretorius,KA Maharaj,AL Phehlukwayo,,-,-
59,1031429,JJ Roy,JE Root,AD Hales,EJG Morgan,JC Buttler,AU Rashid,JM Bairstow,DJ Willey,TS Roland-Jones,JT Ball,ST Finn,HM Amla,Q de Kock,F du Plessis,JP Duminy,AB de Villiers,K Rabada,WD Parnell,M Morkel,KA Maharaj,CH Morris,-,,-,-
60,1033367,EC Joyce,PR Stirling,WTS Porterfield,A Balbirnie,NJ O'Brien,KJ O'Brien,GC Wilson,GH Dockrell,BJ McCarthy,TJ Murtagh,PKD Chase,Tamim Iqbal,Soumya Sarkar,Sabbir Rahman,Mushfiqur Rahim,Rubel Hossain,Mustafizur Rahman,Mashrafe Mortaza,Mosaddek Hossain,Shakib Al Hasan,Mahmudullah,Sunzamul Islam,,-,-
61,1033371,TWM Latham,L Ronchi,NT Broom,LRPL Taylor,CJ Anderson,JDS Neesham,MJ Santner,C Munro,MJ Henry,JS Patel,HK Bennett,Tamim Iqbal,Soumya Sarkar,Sabbir Rahman,Mosaddek Hossain,Mushfiqur Rahim,Shakib Al Hasan,Mahmudullah,Mashrafe Mortaza,Mustafizur Rahman,Rubel Hossain,Nasir Hossain,,-,-
62,1033707,B de Leede,SL Kalis,M Veringmeier,HW Rambaldo,CC van Slobbe,HDJ Siegers,DM Braat,L Klokgieters,CG Steenstra Toussaint,EE Corder,S Siegers,OSM Rae,SJ Bryce,KE Bryce,RV Scholes,A Aitken,PA Chatterji,S Haggo,KL Gordon,K McGill,-,-,,-,-
63,1034819,JJ Roy,AD Hales,JE Root,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,DJ Willey,JT Ball,AU Rashid,KL Rahul,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,UT Yadav,JJ Bumrah,,-,-
64,1034821,KL Rahul,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,B Kumar,JJ Bumrah,R Ashwin,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,LE Plunkett,DJ Willey,JT Ball,,-,-
